ch	pt	fine_thr	a_fit	b_fit
 9	 1	 7	220.028	2.159
 9	 2	 0	226.834	1.363
 9	 2	 1	225.791	1.311
 9	 2	 2	224.903	1.324
 9	 2	 3	223.859	1.337
 9	 2	 4	222.865	1.346
 9	 2	 5	221.847	1.301
 9	 2	 6	220.977	1.299
 9	 2	 7	219.954	1.247
 9	 3	 0	226.806	0.993
 9	 3	 1	225.735	1.019
 9	 3	 2	224.855	0.931
 9	 3	 3	223.817	1.009
 9	 3	 4	222.797	1.000
 9	 3	 5	221.756	1.079
 9	 3	 6	221.024	0.980
 9	 3	 7	219.936	0.942
 9	 4	 0	226.766	0.846
 9	 4	 1	225.718	0.868
 9	 4	 2	224.776	0.851
 9	 4	 3	223.822	0.821
 9	 4	 4	222.798	0.839
 9	 4	 5	221.762	0.841
 9	 4	 6	220.896	0.850
 9	 4	 7	219.862	0.839
 9	 5	 0	226.727	0.765
 9	 5	 1	225.647	0.719
 9	 5	 2	224.863	0.735
 9	 5	 3	223.788	0.742
 9	 5	 4	222.772	0.713
 9	 5	 5	221.750	0.729
 9	 5	 6	220.832	0.777
 9	 5	 7	219.848	0.672
 9	 6	 0	226.693	0.704
 9	 6	 1	225.650	0.727
 9	 6	 2	224.791	0.682
 9	 6	 3	223.732	0.655
 9	 6	 4	222.715	0.693
 9	 6	 5	221.708	0.666
 9	 6	 6	220.841	0.766
 9	 6	 7	219.826	0.650
 9	 7	 0	226.676	0.666
 9	 7	 1	225.656	0.626
 9	 7	 2	224.742	0.651
 9	 7	 3	223.700	0.686
 9	 7	 4	222.695	0.682
 9	 7	 5	221.733	0.678
 9	 7	 6	220.801	0.664
 9	 7	 7	219.781	0.629
10	 0	 0	229.213	4.769
10	 0	 1	228.218	4.806
10	 0	 2	226.930	4.799
10	 0	 3	225.969	4.796
10	 0	 4	225.223	4.881
10	 0	 5	224.158	4.793
10	 0	 6	223.271	4.730
10	 0	 7	222.005	4.762
10	 1	 0	229.019	1.857
10	 1	 1	227.896	1.796
10	 1	 2	227.066	2.041
10	 1	 3	225.901	1.968
10	 1	 4	225.109	2.024
10	 1	 5	223.941	1.890
10	 1	 6	222.868	2.011
10	 1	 7	222.060	2.066
10	 2	 0	228.990	1.250
10	 2	 1	227.990	1.203
10	 2	 2	226.839	1.179
10	 2	 3	225.877	1.222
10	 2	 4	224.981	1.299
10	 2	 5	223.927	1.198
10	 2	 6	222.908	1.206
10	 2	 7	221.852	1.184
10	 3	 0	228.977	0.887
10	 3	 1	227.970	0.920
10	 3	 2	226.887	0.941
10	 3	 3	225.858	0.999
10	 3	 4	224.906	0.973
10	 3	 5	223.942	0.887
10	 3	 6	222.827	0.894
10	 3	 7	221.871	0.961
10	 4	 0	228.972	0.780
10	 4	 1	227.948	0.761
10	 4	 2	226.836	0.845
10	 4	 3	225.811	0.825
10	 4	 4	224.952	0.815
10	 4	 5	223.942	0.775
10	 4	 6	222.830	0.806
10	 4	 7	221.863	0.783
10	 5	 0	228.919	0.662
10	 5	 1	227.985	0.677
10	 5	 2	226.849	0.671
10	 5	 3	225.816	0.726
10	 5	 4	224.914	0.692
10	 5	 5	223.901	0.726
10	 5	 6	222.830	0.730
10	 5	 7	221.777	0.749
10	 6	 0	228.932	0.616
10	 6	 1	227.928	0.668
10	 6	 2	226.796	0.677
10	 6	 3	225.753	0.664
10	 6	 4	224.882	0.701
10	 6	 5	223.896	0.690
10	 6	 6	222.762	0.711
10	 6	 7	221.798	0.632
10	 7	 0	228.894	0.651
10	 7	 1	227.882	0.675
10	 7	 2	226.790	0.644
10	 7	 3	225.763	0.648
10	 7	 4	224.859	0.633
10	 7	 5	223.839	0.634
10	 7	 6	222.808	0.691
10	 7	 7	221.794	0.665
11	 0	 0	218.993	5.389
11	 0	 1	218.021	5.520
11	 0	 2	216.928	5.428
11	 0	 3	215.985	5.484
11	 0	 4	214.877	5.376
11	 0	 5	213.802	5.438
11	 0	 6	212.878	5.608
11	 0	 7	211.788	5.395
11	 1	 0	218.407	2.310
11	 1	 1	217.300	2.218
11	 1	 2	216.408	2.174
11	 1	 3	215.447	2.290
11	 1	 4	214.301	2.212
11	 1	 5	213.223	2.286
11	 1	 6	212.309	2.253
11	 1	 7	211.197	2.308
11	 2	 0	218.254	1.376
11	 2	 1	217.347	1.371
11	 2	 2	216.270	1.427
11	 2	 3	215.349	1.462
11	 2	 4	214.143	1.362
11	 2	 5	213.088	1.403
11	 2	 6	212.124	1.415
11	 2	 7	211.084	1.388
11	 3	 0	218.233	0.943
11	 3	 1	217.265	1.025
11	 3	 2	216.297	1.052
11	 3	 3	215.263	1.079
11	 3	 4	214.089	1.049
11	 3	 5	213.127	1.108
11	 3	 6	212.140	1.029
11	 3	 7	211.087	1.079
11	 4	 0	218.241	0.786
11	 4	 1	217.236	0.828
11	 4	 2	216.272	0.837
11	 4	 3	215.306	0.889
11	 4	 4	214.073	0.909
11	 4	 5	213.069	0.893
11	 4	 6	212.111	0.923
11	 4	 7	211.045	0.896
11	 5	 0	218.258	0.707
11	 5	 1	217.194	0.738
11	 5	 2	216.169	0.742
11	 5	 3	215.222	0.726
11	 5	 4	214.045	0.756
11	 5	 5	213.054	0.728
11	 5	 6	212.036	0.783
11	 5	 7	211.040	0.786
11	 6	 0	218.195	0.664
11	 6	 1	217.167	0.704
11	 6	 2	216.173	0.684
